DSID,gq_scaled,gqd_scaled,mass,width,branching_ratio,cross_section
100155,0.0005,0.08,1500,2.546e-01,0.9993057,0.01268
100156,0.0005,0.08,1800,3.056e-01,0.9993032,0.005261
100157,0.0005,0.08,2200,3.736e-01,0.9993013,0.001844
100158,0.0005,0.08,2600,4.415e-01,0.9993002,0.000711
100159,0.0005,0.08,3000,5.095e-01,0.9992995,0.0002921
100160,0.0005,0.08,3500,5.945e-01,0.9992989,0.0001016
100161,0.0005,0.085,600,0.11429,0.9994204,0.5431
100162,0.0005,0.085,800,0.15284,0.9994027,0.1828
100163,0.0005,0.085,1000,1.913e-01,0.9993940,0.0746
100164,0.0005,0.085,1200,2.297e-01,0.9993891,0.0346
100165,0.0005,0.085,1500,2.873e-01,0.9993850,0.01268
100166,0.0005,0.085,1800,3.449e-01,0.9993827,0.005261
100167,0.0005,0.085,2200,4.217e-01,0.9993810,0.001844
100168,0.0005,0.085,2600,4.984e-01,0.9993800,0.000711
100169,0.0005,0.085,3000,5.752e-01,0.9993794,0.0002921
100170,0.0005,0.085,3500,6.711e-01,0.9993789,0.0001016
100171,0.0005,0.09,600,0.12812,0.9994830,0.5431
100172,0.0005,0.09,800,0.17133,0.9994672,0.1828
100173,0.0005,0.09,1000,2.145e-01,0.9994594,0.0746
100174,0.0005,0.09,1200,2.575e-01,0.9994550,0.0346
100175,0.0005,0.09,1500,3.221e-01,0.9994514,0.01269
100176,0.0005,0.09,1800,3.867e-01,0.9994494,0.005261
100177,0.0005,0.09,2200,4.727e-01,0.9994479,0.001844
100178,0.0005,0.09,2600,5.587e-01,0.9994470,0.0007111
100179,0.0005,0.09,3000,6.448e-01,0.9994464,0.0002922
100180,0.0005,0.09,3500,7.523e-01,0.9994460,0.00010169999999999999
100181,0.0005,0.095,600,0.14275,0.9995359,0.5431
100182,0.0005,0.095,800,0.19089,0.9995218,0.1828
100183,0.0005,0.095,1000,2.389e-01,0.9995148,0.0746
100184,0.0005,0.095,1200,2.869e-01,0.9995108,0.0346
100185,0.0005,0.095,1500,3.589e-01,0.9995076,0.01269
100186,0.0005,0.095,1800,4.308e-01,0.9995058,0.005261
100187,0.0005,0.095,2200,5.267e-01,0.9995044,0.0018449999999999999
100188,0.0005,0.095,2600,6.225e-01,0.9995036,0.0007111
100189,0.0005,0.095,3000,7.184e-01,0.9995031,0.0002922
100190,0.0005,0.095,3500,8.381e-01,0.9995027,0.0001018
100191,0.0005,0.1,600,0.15816,0.9995812,0.5431
100192,0.0005,0.1,800,0.21150,0.9995684,0.1828
100193,0.0005,0.1,1000,2.647e-01,0.9995621,0.07461000000000001
100194,0.0005,0.1,1200,3.179e-01,0.9995585,0.0346
100195,0.0005,0.1,1500,3.976e-01,0.9995556,0.01269
100196,0.0005,0.1,1800,4.773e-01,0.9995539,0.005262
100197,0.0005,0.1,2200,5.835e-01,0.9995527,0.0018449999999999999
100198,0.0005,0.1,2600,6.897e-01,0.9995520,0.0007111
100199,0.0005,0.1,3000,7.959e-01,0.9995516,0.0002922
100200,0.0005,0.1,3500,9.286e-01,0.9995512,0.0001018
100201,0.001,0.005,600,0.00066,0.5986516,1.301
100202,0.001,0.005,800,0.00089,0.5914109,0.4328
100203,0.001,0.005,1000,1.125e-03,0.5878865,0.1759
100204,0.001,0.005,1200,1.356e-03,0.5859320,0.08115
100205,0.001,0.005,1500,1.701e-03,0.5843134,0.029670000000000002
100206,0.001,0.005,1800,2.044e-03,0.5834271,0.012289999999999999
100207,0.001,0.005,2200,2.502e-03,0.5827581,0.0043029999999999995
100208,0.001,0.005,2600,2.960e-03,0.5823721,0.001658
100209,0.001,0.005,3000,3.417e-03,0.5821295,0.0006807
100210,0.001,0.005,3500,3.988e-03,0.5819350,0.00023659999999999998
100211,0.001,0.01,600,0.00185,0.8564539,1.8619999999999999
100212,0.001,0.01,800,0.00248,0.8527200,0.624
100213,0.001,0.01,1000,3.110e-03,0.8508813,0.2545
100214,0.001,0.01,1200,3.739e-03,0.8498555,0.1177
100215,0.001,0.01,1500,4.682e-03,0.8490027,0.04311
100216,0.001,0.01,1800,5.623e-03,0.8485345,0.01788
100217,0.001,0.01,2200,6.877e-03,0.8481804,0.006262
100218,0.001,0.01,2600,8.130e-03,0.8479759,0.0024140000000000003
100219,0.001,0.01,3000,9.383e-03,0.8478473,0.0009915
100220,0.001,0.01,3500,1.095e-02,0.8477441,0.00034470000000000003
100221,0.001,0.015,600,0.00382,0.9306731,2.023
100222,0.001,0.015,800,0.00512,0.9287090,0.6796
100223,0.001,0.015,1000,6.418e-03,0.9277386,0.27749999999999997
100224,0.001,0.015,1200,7.711e-03,0.9271963,0.12840000000000001
100225,0.001,0.015,1500,9.650e-03,0.9267449,0.04706
100226,0.001,0.015,1800,1.159e-02,0.9264969,0.01952
100227,0.001,0.015,2200,1.417e-02,0.9263092,0.0068390000000000005
100228,0.001,0.015,2600,1.675e-02,0.9262008,0.002636
100229,0.001,0.015,3000,1.933e-02,0.9261326,0.001083
100230,0.001,0.015,3500,2.255e-02,0.9260779,0.00037660000000000005
100231,0.001,0.02,600,0.00659,0.9597838,2.087
100232,0.001,0.02,800,0.00882,0.9586078,0.7013999999999999
100233,0.001,0.02,1000,1.105e-02,0.9580260,0.28659999999999997
100234,0.001,0.02,1200,1.327e-02,0.9577006,0.1326
100235,0.001,0.02,1500,1.661e-02,0.9574297,0.048620000000000003
100236,0.001,0.02,1800,1.994e-02,0.9572807,0.02017
100237,0.001,0.02,2200,2.438e-02,0.9571681,0.0070669999999999995
100238,0.001,0.02,2600,2.881e-02,0.9571029,0.0027240000000000003
100239,0.001,0.02,3000,3.325e-02,0.9570620,0.001119
100240,0.001,0.02,3500,3.880e-02,0.9570291,0.00038909999999999997
100241,0.001,0.025,600,0.01015,0.9738835,2.117
100242,0.001,0.025,800,0.01358,0.9731083,0.7121000000000001
100243,0.001,0.025,1000,1.700e-02,0.9727245,0.291
100244,0.001,0.025,1200,2.042e-02,0.9725098,0.13470000000000001
100245,0.001,0.025,1500,2.555e-02,0.9723309,0.04937
100246,0.001,0.025,1800,3.067e-02,0.9722326,0.020479999999999998
100247,0.001,0.025,2200,3.750e-02,0.9721583,0.007177
100248,0.001,0.025,2600,4.433e-02,0.9721153,0.002767
100249,0.001,0.025,3000,5.115e-02,0.9720882,0.001137
100250,0.001,0.025,3500,5.968e-02,0.9720665,0.0003953
100251,0.001,0.03,600,0.01449,0.9817177,2.134
100252,0.001,0.03,800,0.01939,0.9811705,0.7179000000000001
100253,0.001,0.03,1000,2.428e-02,0.9808995,0.2934
100254,0.001,0.03,1200,2.916e-02,0.9807478,0.1358
100255,0.001,0.03,1500,3.648e-02,0.9806215,0.04979
100256,0.001,0.03,1800,4.379e-02,0.9805521,0.02066
100257,0.001,0.03,2200,5.354e-02,0.9804996,0.007239000000000001
100258,0.001,0.03,2600,6.328e-02,0.9804692,0.002791
100259,0.001,0.03,3000,7.303e-02,0.9804501,0.0011459999999999999
100260,0.001,0.03,3500,8.521e-02,0.9804347,0.0003987
100261,0.001,0.035,600,0.01963,0.9865026,2.144
100262,0.001,0.035,800,0.02626,0.9860966,0.7215
100263,0.001,0.035,1000,3.288e-02,0.9858955,0.2949
100264,0.001,0.035,1200,3.949e-02,0.9857829,0.1365
100265,0.001,0.035,1500,4.940e-02,0.9856892,0.050050000000000004
100266,0.001,0.035,1800,5.930e-02,0.9856376,0.020759999999999997
100267,0.001,0.035,2200,7.250e-02,0.9855986,0.007276
100268,0.001,0.035,2600,8.569e-02,0.9855761,0.002805
100269,0.001,0.035,3000,9.888e-02,0.9855619,0.001152
100270,0.001,0.035,3500,1.154e-01,0.9855505,0.00040070000000000004
100271,0.001,0.04,600,0.02556,0.9896333,2.151
100272,0.001,0.04,800,0.03419,0.9893204,0.7239
100273,0.001,0.04,1000,4.280e-02,0.9891654,0.2959
100274,0.001,0.04,1200,5.141e-02,0.9890787,0.13699999999999998
100275,0.001,0.04,1500,6.430e-02,0.9890064,0.05022
100276,0.001,0.04,1800,7.719e-02,0.9889667,0.020829999999999998
100277,0.001,0.04,2200,9.437e-02,0.9889366,0.007301
100278,0.001,0.04,2600,1.115e-01,0.9889192,0.002815
100279,0.001,0.04,3000,1.287e-01,0.9889083,0.001156
100280,0.001,0.04,3500,1.502e-01,0.9888995,0.00040209999999999996
100281,0.001,0.045,600,0.03228,0.9917911,2.156
100282,0.001,0.045,800,0.04318,0.9915429,0.7255
100283,0.001,0.045,1000,5.405e-02,0.9914198,0.2966
100284,0.001,0.045,1200,6.491e-02,0.9913510,0.1373
100285,0.001,0.045,1500,8.119e-02,0.9912936,0.05033
100286,0.001,0.045,1800,9.747e-02,0.9912621,0.02088
100287,0.001,0.045,2200,1.192e-01,0.9912382,0.007318
100288,0.001,0.045,2600,1.408e-01,0.9912244,0.002821
100289,0.001,0.045,3000,1.625e-01,0.9912157,0.001159
100290,0.001,0.045,3500,1.896e-01,0.9912088,0.000403
100291,0.001,0.05,600,0.03979,0.9933404,2.159
100292,0.001,0.05,800,0.05322,0.9931387,0.7265999999999999
100293,0.001,0.05,1000,6.662e-02,0.9930387,0.2965
100294,0.001,0.05,1200,8.001e-02,0.9929828,0.1375
100295,0.001,0.05,1500,1.001e-01,0.9929362,0.05042
100296,0.001,0.05,1800,1.201e-01,0.9929105,0.02091
100297,0.001,0.05,2200,1.469e-01,0.9928911,0.00733
100298,0.001,0.05,2600,1.736e-01,0.9928799,0.002826
100299,0.001,0.05,3000,2.003e-01,0.9928729,0.001161
100300,0.001,0.05,3500,2.337e-01,0.9928672,0.0004037
100301,0.001,0.055,600,0.04809,0.9944899,2.162
100302,0.001,0.055,800,0.06432,0.9943227,0.7275
100303,0.001,0.055,1000,8.051e-02,0.9942399,0.2969
100304,0.001,0.055,1200,9.669e-02,0.9941936,0.1377
100305,0.001,0.055,1500,1.209e-01,0.9941549,0.05048
100306,0.001,0.055,1800,1.452e-01,0.9941337,0.02094
100307,0.001,0.055,2200,1.775e-01,0.9941176,0.007339
100308,0.001,0.055,2600,2.098e-01,0.9941083,0.002829
100309,0.001,0.055,3000,2.421e-01,0.9941025,0.0011619999999999998
100310,0.001,0.055,3500,2.825e-01,0.9940978,0.0004042
100311,0.001,0.06,600,0.05718,0.9953659,2.164
100312,0.001,0.06,800,0.07647,0.9952252,0.7281
100313,0.001,0.06,1000,9.573e-02,0.9951555,0.2971
100314,0.001,0.06,1200,1.150e-01,0.9951164,0.1378
100315,0.001,0.06,1500,1.438e-01,0.9950839,0.050519999999999995
100316,0.001,0.06,1800,1.726e-01,0.9950661,0.02095
100317,0.001,0.06,2200,2.110e-01,0.9950525,0.007345
100318,0.001,0.06,2600,2.494e-01,0.9950447,0.0028320000000000003
100319,0.001,0.06,3000,2.878e-01,0.9950398,0.001163
100320,0.001,0.06,3500,3.358e-01,0.9950358,0.00040459999999999997
100321,0.001,0.065,600,0.06706,0.9960487,2.165
100322,0.001,0.065,800,0.08969,0.9959286,0.7287
100323,0.001,0.065,1000,1.123e-01,0.9958692,0.2974
100324,0.001,0.065,1200,1.348e-01,0.9958359,0.13790000000000002
100325,0.001,0.065,1500,1.686e-01,0.9958081,0.05056
100326,0.001,0.065,1800,2.024e-01,0.9957929,0.02097
100327,0.001,0.065,2200,2.475e-01,0.9957813,0.007351
100328,0.001,0.065,2600,2.925e-01,0.9957746,0.002834
100329,0.001,0.065,3000,3.376e-01,0.9957704,0.0011639999999999999
100330,0.001,0.065,3500,3.938e-01,0.9957671,0.00040490000000000003
100331,0.001,0.07,600,0.07773,0.9965911,2.166
100332,0.001,0.07,800,0.10396,0.9964875,0.729
